source_id,title,publisher,year,geography,evidence,use_for,url
CUENCA_UCUENCA_LEXICON_2013,Acercamiento pragmático al léxico utilizado en los mercados municipales de la ciudad de Cuenca (El Arenal y 10 de Agosto),Universidad de Cuenca,2013,Cuenca,"Corpus/glosario de términos y frases recurrentes de vivanderas; observación, entrevistas, grabaciones y testimonios.","léxico local, llamadas de venta, precios, diminutivos, contexto pragmático",https://dspace.ucuenca.edu.ec/items/713d1107-65e9-403b-b78d-4db23ed1a5d4
CUENCA_KILLKANA_ARENAL_2021,"¿Qué va a llevar, mi amor?: la retórica de la negociación en el Mercado El Arenal",Killkana Sociales / Universidad Católica de Cuenca,2021,Cuenca - El Arenal,"Estudio etnográfico de oralidad y estrategias retóricas en compra/venta; calidad, cantidad y precio.","negociación, oralidad, contexto, cantidad/precio",https://killkana.ucacue.edu.ec/index.php/killkana_social/article/view/832
CUENCA_SCIELO_SININCAY_2023,"Buenas prácticas de innovación social en mujeres comerciantes informales de la parroquia Sinincay, cantón Cuenca",SciELO / Universidad de Cuenca,2023,Cuenca - Sinincay,Perfil de comerciantes; baja adopción tecnológica; uso de celular/WhatsApp/Facebook; yapa como estrategia de venta.,"yapa, baja tecnología, venta informal, productos agrícolas",https://scielo.senescyt.gob.ec/scielo.php?pid=S2550-67222023000300063&script=sci_arttext
CUENCA_MUNICIPIO_CUSNI_2025,"Promociones, ofertas y recorridos en los mercados por la VI Edición del Viernes Cusni",GAD Municipal de Cuenca,2025,Cuenca - varios mercados,"Promociones locales documentadas: yapa, 2x1, descuentos, precios redondos.","descuentos, promociones, yapa, precio",https://www.cuenca.gob.ec/content/promociones-ofertas-y-recorridos-en-los-mercados-por-la-vi-edicion-del-viernes-cusni
CUENCA_VISITCUENCA_MARKETS,Los sabores de los mercados,VisitCuenca,2022,Cuenca,Descripción de mercados y uso local de 'baratito y con yapa'.,registro local de promoción y yapa,https://visitcuencaecuador.com.ec/los-sabores-de-los-mercados/
CUENCA_PRIMICIAS_CASERITA_2025,En Cuenca el comprador es más fiel a las marcas y a los locales con historia y tradición,Primicias,2025,Cuenca - Mercado 10 de Agosto,Relación prolongada caserita-cliente y trato personalizado.,"cliente activo, referencias implícitas, relación recurrente",https://www.primicias.ec/economia/cuenca-compradores-fidelidad-marcas-estudio-kantar-90350/
CUENCA_UCUENCA_9OCT_2024,Repensando el espacio desde prácticas socio-espaciales de vendedores ambulantes en calles aledañas al Mercado 9 de Octubre,Universidad de Cuenca,2024,Cuenca - Mercado 9 de Octubre,"Entrevistas semiestructuradas a comerciantes ambulantes; prácticas cotidianas, venta familiar y ubicación.",diversidad de vendedores y contexto real de comercio callejero,https://dspace.ucuenca.edu.ec/items/fbfc534a-362a-4d4d-8d1a-0276bfb03d17
CUENCA_UCUENCA_12ABRIL_2024,Guía para la manipulación y expendio de alimentos preparados... aplicada al Mercado 12 de Abril,Universidad de Cuenca,2024,Cuenca - Mercado 12 de Abril,Encuestas a comerciantes y entrevistas a autoridades; prácticas de expendio.,"comercio de alimentos preparados, diversidad de giros",https://dspace.ucuenca.edu.ec/items/26aff485-8044-45f6-8956-44e7104c8710
CUENCA_MUNICIPIO_12ABRIL_2026,El mercado 12 de Abril celebró con fiesta sus 41 años de tradición y servicio,GAD Municipal de Cuenca,2026,Cuenca - Mercado 12 de Abril,"564 comerciantes y diversidad de actividad económica, cultural y gastronómica.",cobertura sectorial y diversidad de comercio,https://www.cuenca.gob.ec/content/el-mercado-12-de-abril-celebro-con-fiesta-sus-41-anos-de-tradicion-y-servicio
CUENCA_MUNICIPIO_10AGOSTO_2023,Operativo en mercado 10 de Agosto recupera orden y libre circulación,GAD Municipal de Cuenca,2023,Cuenca - Mercado 10 de Agosto,651 comerciantes en 10 de Agosto; frutas/verduras y giros comerciales.,cobertura local y categorías de productos,https://www.cuenca.gob.ec/content/operativo-en-mercado-10-de-agosto-recupera-orden-y-libre-circulacion
CUENCA_ITB_VISA_CENTER,Estudio de control administrativo/financiero de microempresa Visa Center Fotografía,Instituto Superior Tecnológico Bolivariano,2024,Cuenca,Registros manuales en cuaderno de ingresos/egresos; falta de registro estructurado de compras y ventas; dinero de ventas usado para gastos ajenos.,"ingresos, egresos, retiro personal, registro manual",https://api.dspace.itb.edu.ec/server/api/core/bitstreams/ed38fa81-c50c-4040-9315-4fc016f89697/content
ECUADOR_YAPPA_TESTIMONIALS,YAPPA - testimonios de pequeños negocios,YAPPA Ecuador,2026,Ecuador (incluye Cuenca),"Testimonios comerciales sobre registrar ventas, cierre del día, gastos, cuadernos e inventario.",hipótesis de flujo diario y dolor de registro,https://yappaec.com.ec/
ECUADOR_UNL_RECEIVABLES,"Auxiliares de cuentas por cobrar: deuda, abono y saldo",Universidad Nacional de Loja,2024,Ecuador,Estructuras contables explícitas deuda/abono/saldo con clientes de Cuenca.,"ciclo de deuda, abono, saldo",https://dspace.unl.edu.ec/jspui/bitstream/123456789/26914/1/AndreaCatherine_ChambaPinta.pdf
CUENCA_UAZUAY_MARKET_CULTURE,"Estudio de mercados de Cuenca: relaciones vendedor-comprador, regateo y yapa",Universidad del Azuay,2022,Cuenca,Describe regateo y yapa como parte de las relaciones personales en los mercados.,negociación y promoción contextual,https://dspace.uazuay.edu.ec/bitstream/datos/11981/1/17508.pdf
