id,text,locale,geography,provenance_type,real_participant,eligible_for_real_heldout,source_id,expected_operation,phenomenon,safety_expectation,expected,notes
EXT-0001,me quedan 1 libras,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_10AGOSTO_2023,STOCK_ADJUSTMENT,IMPLICIT_PRODUCT,NEEDS_CONTEXT,{},
EXT-0002,cobré 15 y compré mercadería por 10,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,COMPOUND_OPERATION,COMPOUND_PAYMENT_PURCHASE,DETECT_COMPOUND_AND_SPLIT_OR_CONFIRM,{},
EXT-0003,salieron 12 libras de cebolla a 0.75,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""cebolla"", ""quantity"": 12, ""unit"": ""libra"", ""unit_price"": 0.75}",
EXT-0004,creo que salieron como 60,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0005,1 libras de tomate a 1 cada una,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_MUNICIPIO_CUSNI_2025,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""tomate"", ""quantity"": 1, ""unit"": ""libra"", ""unit_price"": 1}",
EXT-0006,10 unidads de naranja a 2 cada una,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_SCIELO_SININCAY_2023,SALE,EXPLICIT_QUANTITY_UNIT_PRICE,PROPOSE_OR_CONFIRM,"{""product"": ""naranja"", ""quantity"": 10, ""unit"": ""unidad"", ""unit_price"": 2}",
EXT-0007,[NOMBRE_A] me abonó 8,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_ITB_VISA_CENTER,PAYMENT_RECEIVED,PARTIAL_PAYMENT,NEEDS_CONTEXT,"{""customer"": ""[NOMBRE_A]"", ""amount"": 8}",
EXT-0008,vendí todo lo que quedaba de pollo,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_KILLKANA_ARENAL_2021,SALE,IMPLICIT_QUANTITY_FROM_STOCK,NEEDS_CONTEXT,{},
EXT-0009,debe haber unos 15 de venta,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,ECUADOR_YAPPA_TESTIMONIALS,NONE,APPROXIMATE_DAILY_CLOSE,DO_NOT_CREATE_EXACT_FINANCIAL_OPERATION,{},
EXT-0010,vendí todo lo que quedaba de cebolla,es-EC,Cuenca/Ecuador,WEB_DERIVED_MULTISOURCE,False,False,CUENCA_UCUENCA_LEXICON_2013,SALE,IMPLICIT_QUANTITY_FROM_STOCK,NEEDS_CONTEXT,{},
